price,date,ticker
104.0,2016-07-01,A
104.87815067615534,2016-07-05,A
104.41190933506331,2016-07-06,A
104.93195657145004,2016-07-07,A
104.42127356374375,2016-07-08,A
104.48233796748329,2016-07-11,A
103.40686762477397,2016-07-12,A
103.9591303830494,2016-07-13,A
104.28469233758739,2016-07-14,A
104.66676708484209,2016-07-15,A
104.17156610731607,2016-07-18,A
104.13991075455378,2016-07-19,A
104.79582404775178,2016-07-20,A
105.87675465461643,2016-07-21,A
105.93709383205703,2016-07-22,A
105.99824339629772,2016-07-25,A
106.66192069875746,2016-07-26,A
106.43128726583544,2016-07-27,A
107.24942817664525,2016-07-28,A
106.92252227151646,2016-07-29,A
107.19164012858971,2016-08-01,A
107.76739981019861,2016-08-02,A
106.79760036376025,2016-08-03,A
106.37017472757208,2016-08-04,A
107.25706082740422,2016-08-05,A
106.32520729915613,2016-08-08,A
106.39761885327727,2016-08-09,A
105.40582903661794,2016-08-10,A
104.76581330979386,2016-08-11,A
104.54658054564462,2016-08-12,A
104.16731852181039,2016-08-15,A
104.20780001476068,2016-08-16,A
104.7355761493416,2016-08-17,A
104.1535430975006,2016-08-18,A
104.19534374424578,2016-08-19,A
104.2475736064227,2016-08-22,A
104.86594308196418,2016-08-23,A
105.5339054469482,2016-08-24,A
104.89166888729558,2016-08-25,A
105.41404099234215,2016-08-26,A
105.84159342092589,2016-08-29,A
104.25883692067988,2016-08-30,A
104.34314558998801,2016-08-31,A
105.0531392172164,2016-09-01,A
104.7155555671814,2016-09-02,A
105.58843450059987,2016-09-06,A
105.82575994957008,2016-09-07,A
106.40576836769606,2016-09-08,A
106.33895474987045,2016-09-09,A
106.45935569714388,2016-09-12,A
104.97493607225907,2016-09-13,A
104.51324100589954,2016-09-14,A
104.56447114723393,2016-09-15,A
104.42426708739794,2016-09-16,A
104.36017878164039,2016-09-19,A
104.65702984256826,2016-09-20,A
103.8770651464119,2016-09-21,A
105.32574951231125,2016-09-22,A
106.230251704852,2016-09-23,A
106.49466606265055,2016-09-26,A
107.28862190975128,2016-09-27,A
106.90267998732097,2016-09-28,A
106.56629592520223,2016-09-29,A
105.08773418645492,2016-09-30,A
104.7124724776131,2016-10-03,A
104.11672058372292,2016-10-04,A
103.84410015144081,2016-10-05,A
102.9642307762594,2016-10-06,A
104.16179785387305,2016-10-07,A
104.93050731747206,2016-10-10,A
105.97005797025622,2016-10-11,A
104.98281570660502,2016-10-12,A
105.81152696173264,2016-10-13,A
106.22262800781161,2016-10-14,A
106.27313381187071,2016-10-17,A
106.45384136146963,2016-10-18,A
107.72994596430657,2016-10-19,A
108.01352782071622,2016-10-20,A
108.65409495699907,2016-10-21,A
108.77072832379997,2016-10-24,A
109.50407838955655,2016-10-25,A
109.94799240486039,2016-10-26,A
110.1384286324776,2016-10-27,A
110.41164125212488,2016-10-28,A
110.99180153896083,2016-10-31,A
111.68924790246957,2016-11-01,A
112.15238938011582,2016-11-02,A
111.34045301062294,2016-11-03,A
111.60930907791592,2016-11-04,A
110.44129521062405,2016-11-07,A
110.03869380880164,2016-11-08,A
109.91185342518776,2016-11-09,A
110.8208301301043,2016-11-10,A
109.80198898321221,2016-11-11,A
109.61174221075348,2016-11-14,A
109.19186431107813,2016-11-15,A
108.94667888415138,2016-11-16,A
109.20028536548483,2016-11-17,A
109.15540847031824,2016-11-18,A
108.62400996724136,2016-11-21,A
108.99543759775818,2016-11-22,A
107.74700405713533,2016-11-23,A
107.97494327657327,2016-11-25,A
107.59052185552868,2016-11-28,A
106.39331171827483,2016-11-29,A
107.00318574657564,2016-11-30,A
107.3673403807312,2016-12-01,A
106.4260979750733,2016-12-02,A
106.32989842738297,2016-12-05,A
105.7805053952623,2016-12-06,A
105.06604606111044,2016-12-07,A
105.98344324091393,2016-12-08,A
105.83297898254067,2016-12-09,A
104.57978697805429,2016-12-12,A
103.97471014292363,2016-12-13,A
104.54551837965572,2016-12-14,A
104.32558680495227,2016-12-15,A
104.61834849436612,2016-12-16,A
104.86093524328373,2016-12-19,A
105.0870744880627,2016-12-20,A
104.91445082632119,2016-12-21,A
105.63621189411353,2016-12-22,A
105.97928946012455,2016-12-23,A
105.58959421203889,2016-12-27,A
106.2533164278796,2016-12-28,A
105.98952520981197,2016-12-29,A
104.84789839231375,2016-12-30,A
105.24633220461182,2017-01-03,A
105.49340322050347,2017-01-04,A
106.2019977529751,2017-01-05,A
105.44350526507864,2017-01-06,A
105.49373493263305,2017-01-09,A
104.57496795441946,2017-01-10,A
105.08185066165795,2017-01-11,A
105.8043287751058,2017-01-12,A
106.34746250326555,2017-01-13,A
106.55864244876634,2017-01-17,A
105.54359222176907,2017-01-18,A
105.31256328011446,2017-01-19,A
105.39279084065949,2017-01-20,A
105.67218523065509,2017-01-23,A
105.56024479446687,2017-01-24,A
105.44985276071807,2017-01-25,A
106.31128572467486,2017-01-26,A
106.0524503090274,2017-01-27,A
106.88116153915816,2017-01-30,A
105.93310285842674,2017-01-31,A
106.054179476072,2017-02-01,A
106.22707555487085,2017-02-02,A
106.8007069718136,2017-02-03,A
107.37603401487004,2017-02-06,A
106.52791913834007,2017-02-07,A
105.01778888188377,2017-02-08,A
105.57984370981511,2017-02-09,A
105.30917881279444,2017-02-10,A
106.46775267747175,2017-02-13,A
105.97991225598228,2017-02-14,A
104.60316567758687,2017-02-15,A
105.9442486926104,2017-02-16,A
106.91494144521057,2017-02-17,A
107.43307249661517,2017-02-21,A
106.70206379404051,2017-02-22,A
107.40228313476484,2017-02-23,A
107.53839792123946,2017-02-24,A
106.76464530625195,2017-02-27,A
106.93925373830918,2017-02-28,A
107.5418906430049,2017-03-01,A
107.50102674603055,2017-03-02,A
107.11904057612496,2017-03-03,A
107.90849017717056,2017-03-06,A
107.55955829065194,2017-03-07,A
107.00984336955489,2017-03-08,A
107.28954139024019,2017-03-09,A
107.07318273895147,2017-03-10,A
108.54767657360567,2017-03-13,A
109.02407701236174,2017-03-14,A
110.42438916911125,2017-03-15,A
